Title,Description,Tags
Multi-Generation Priority Scheme (MGPS),Provides flat allocation for eligible parents with a married child to apply jointly for flats in the same Build-To-Order project.,"Families, HDB households"
Enhancement for Active Seniors (EASE),"Subsidy for Singapore Citizen households with at least one senior who meets age criterion and needs help to install grab bars, slip-resistant treatment, and ramps.","Seniors, Subsidies"
Married Child Priority Scheme (MCPS),Provides priority for families to buy a flat near or with parents / married children for mutual support.,"Families, HDB households"
Housing Loan from HDB,Provides eligible buyers with financing via housing loan to purchase or take over ownership of a HDB flat.,"HDB households, Home ownership"
SkillsFuture Work-Study Post-Diploma,"Provides a $5,000 sign-on incentive and industry-recognised qualifications for eligible fresh Polytechnic graduates.","Employment Support and Vocational Training, Jobseekers, Trainings"
Enhanced CPF Housing Grant (Families),"Provides up to $80,000 for eligible first-time applicants applying as a family to assist with new or resale flat purchases.","CPF top-ups, Families, Housing grants"
Legal Aid Bureau,Provides legal help for eligible individuals in various civil proceedings.,Marital and Divorce Support
Spouse Relief / Handicapped Spouse Relief,"Provides tax relief of up to $5,500 to both male and female taxpayers who have supported their spouses.","Dependents, PWDs, Tax relief"
CareShield Life / ElderShield Supplements,"Provides additional benefits, like higher payouts, for CareShield Life or ElderShield policyholders.","Health Insurance, Long-term care"
Handicapped Brother/Sister Relief,Provides tax relief to individuals supporting their handicapped siblings and siblings-in-law.,"Dependents, PWDs, Tax relief"
Tax Payment Support,Supports eligible individuals in their tax payments through various payment arrangements such as longer GIRO-based instalment plans.,"Long-term, Tax relief"
CareShield Life Premium Subsidies,"To ensure that CareShield Life premiums are affordable, the Government has committed to providing several premium support measures, such as Premium Subsidies, Transitional Subsidies, Participation Incentives and Additional Participation Incentives for Merdeka and Pioneer Generation.","Health Insurance, Subsidies"
Public Rental Scheme - Family Scheme,Provides heavily subsidised rental flats for Singaporean households with no other housing options and no family support.,"Families, Rental flats"
